Date,Open,High,Low,Close,Average,Volume
04/01/2016,76.5,77.5,75.5,75.5,76.69,92620
05/01/2016,75.5,75.5,73,75,74.5,243440
06/01/2016,73.5,76,73.5,76,74.82,303590
07/01/2016,74.5,78.5,74,77.5,76.52,375660
08/01/2016,76,78,76,76.5,77.35,75080
11/01/2016,76,76.5,75,76,75.65,659030
12/01/2016,77,77,75.5,76.5,76.47,299130
13/01/2016,76.5,76.5,75,75,75.36,252760
14/01/2016,74,75.5,73.5,74,74.1,4843064
15/01/2016,75,75,70,70,72,1426010
18/01/2016,68.5,70,67.5,70,68.86,1385050
19/01/2016,70,71,68.5,71,70.5,1156210
20/01/2016,70,72,69.5,71.5,70.69,394140
21/01/2016,71.5,73.5,71.5,71.5,72.51,168630
22/01/2016,71.5,71.5,69.5,71,71.09,327780
25/01/2016,72.5,74,71.5,74,72.93,103770
26/01/2016,72,75,72,73.5,73.83,172360
27/01/2016,72.5,74.5,72.5,73.5,73.86,377190
28/01/2016,74,74,72,73,73.04,42820
29/01/2016,72.5,73,72,72.5,72.57,388220
01/02/2016,72.5,72.5,71.5,71.5,72.28,131410
02/02/2016,72,74.5,70.5,70.5,71.23,1020050
03/02/2016,72,72.5,70.5,72,71.55,98450
04/02/2016,72,74,72,73.5,73.15,101460
05/02/2016,73.5,74,72.5,73.5,73.5,23030
15/02/2016,71.5,73.5,71,72,71.69,363790
16/02/2016,71.5,72.5,71.5,72,72.01,135840
17/02/2016,72.5,72.5,71.5,72,72,323500
18/02/2016,71.5,73,71.5,72,72.22,638490
19/02/2016,72.5,72.5,71.5,71.5,71.67,255950
22/02/2016,71.5,75.5,71.5,74.5,71.67,378100
23/02/2016,75.5,75.5,73.5,74,74.16,88940
24/02/2016,74,74,73.5,73.5,73.8,28430
25/02/2016,74.5,74.5,72,72,73.15,127080
26/02/2016,73,74,71.5,74,73,272350
29/02/2016,73,74,72,72,72.26,137790
01/03/2016,72,72.5,72,72,72.14,170880
